Invocation Param,Invocation Value,task,tool,time,ram
,,8,BIDS-example,14.171216992355347,49.0625
,,8,BIDS-example,14.675881175018313,49.06640625
,,8,BIDS-example,15.179711846328736,49.06640625
,,8,BIDS-example,15.685874966598512,49.06640625
,,8,BIDS-example,16.190629986740113,49.06640625
,,8,BIDS-example,16.695289877868653,49.06640625
,,8,BIDS-example,17.199832943893433,49.06640625
,,8,BIDS-example,17.70749500177002,49.06640625
,,8,BIDS-example,18.21275499246216,49.07421875
,,8,BIDS-example,18.71967819116211,49.07421875
,,8,BIDS-example,19.224339989639283,49.078125
,,8,BIDS-example,19.728621987319947,35.34765625
,,8,BIDS-example,19.927978781677247,35.35546875
bids_dir,/data/ds114/,9,BIDS-example,,
output_dir_name,/data/ds114/derivatives/bids-example/,9,BIDS-example,,
analysis_level,participant,9,BIDS-example,,
participant_label,['10'],9,BIDS-example,,
skip_validator,True,9,BIDS-example,,
,,9,BIDS-example,0.003943,29.578125
,,9,BIDS-example,0.0216431953125,34.53125
,,9,BIDS-example,0.5273738242797852,48.40625
,,9,BIDS-example,1.0327189304046631,48.4453125
,,9,BIDS-example,1.536787066619873,48.84375
,,9,BIDS-example,2.0428271629028316,49.046875
,,9,BIDS-example,2.548418793838501,49.046875
,,9,BIDS-example,3.052399907272339,49.06640625
,,9,BIDS-example,3.558208022277832,49.07421875
,,9,BIDS-example,4.063097987335205,49.07421875
,,9,BIDS-example,4.567758832138061,49.07421875
,,9,BIDS-example,5.071752104919433,49.07421875
,,9,BIDS-example,5.5809359885864245,49.08984375
,,9,BIDS-example,6.085317883651732,49.08984375
,,9,BIDS-example,6.589700970809936,49.08984375
,,9,BIDS-example,7.0946150161437975,49.08984375
,,9,BIDS-example,7.599245820205687,49.08984375
,,9,BIDS-example,8.103910002868652,49.08984375
,,9,BIDS-example,8.608504805725097,49.09375
,,9,BIDS-example,9.112870965164184,49.09375
,,9,BIDS-example,9.619056019943237,49.09765625
,,9,BIDS-example,10.122913155715944,49.09765625
,,9,BIDS-example,10.627805981796264,49.09765625
,,9,BIDS-example,11.132862124603275,49.09765625
,,9,BIDS-example,11.638227019470214,49.09765625
,,9,BIDS-example,12.142205033462524,49.09765625
,,9,BIDS-example,12.645947013061527,49.1015625
,,9,BIDS-example,13.151304993789672,49.10546875
,,9,BIDS-example,13.65726283566284,49.10546875
,,9,BIDS-example,14.161405120056152,49.10546875
,,9,BIDS-example,14.665696177642822,49.10546875
,,9,BIDS-example,15.169858250778198,49.10546875
,,9,BIDS-example,15.676102910202026,49.109375
,,9,BIDS-example,16.179938111465454,35.28125
,,9,BIDS-example,16.558016095321655,35.2890625
